code,region
AFG,Southern Asia
ALB,Central and Eastern Europe
DZA,Middle East and North Africa
ASM,
AGO,Sub-Saharan Africa
ATG,
ARG,Latin America and Caribbean
ARM,Central and Eastern Europe
ABW,
AUS,Australia and New Zealand
AUT,Western Europe
AZE,Central and Eastern Europe
BHS,
BHR,Middle East and North Africa
BGD,Southern Asia
BRB,
BLR,Central and Eastern Europe
BEL,Western Europe
BLZ,
BEN,Sub-Saharan Africa
BMU,
BTN,Southern Asia
BOL,Latin America and Caribbean
BIH,Central and Eastern Europe
BWA,Sub-Saharan Africa
BRA,Latin America and Caribbean
VGB,
BRN,
BGR,Central and Eastern Europe
BFA,Sub-Saharan Africa
BDI,Sub-Saharan Africa
KHM,Southeastern Asia
CMR,Sub-Saharan Africa
CAN,North America
CPV,
CYM,
CAF,Sub-Saharan Africa
TCD,Sub-Saharan Africa
CHL,Latin America and Caribbean
CHN,Eastern Asia
COL,Latin America and Caribbean
COM,Sub-Saharan Africa
COG,Sub-Saharan Africa
COK,
CRI,Latin America and Caribbean
CIV,
HRV,Central and Eastern Europe
CUB,
CYP,Western Europe
CZE,Central and Eastern Europe
COD,Sub-Saharan Africa
DNK,Western Europe
DJI,Sub-Saharan Africa
DMA,
DOM,Latin America and Caribbean
ECU,Latin America and Caribbean
EGY,Middle East and North Africa
SLV,Latin America and Caribbean
GNQ,
ERI,
EST,Central and Eastern Europe
SWZ,
ETH,Sub-Saharan Africa
FRO,
FLK,
FJI,
FIN,Western Europe
FRA,Western Europe
GUF,
PYF,
GAB,Sub-Saharan Africa
GMB,
GEO,Central and Eastern Europe
DEU,Western Europe
GHA,Sub-Saharan Africa
GIB,
GRC,Western Europe
GRL,
GRD,
GLP,
GUM,
GTM,Latin America and Caribbean
GIN,Sub-Saharan Africa
GNB,
GUY,
HTI,Latin America and Caribbean
HND,Latin America and Caribbean
HKG,
HUN,Central and Eastern Europe
ISL,Western Europe
IND,Southern Asia
IDN,Southeastern Asia
IRN,Middle East and North Africa
IRQ,Middle East and North Africa
IRL,Western Europe
ISR,Middle East and North Africa
ITA,Western Europe
JAM,Latin America and Caribbean
JPN,Eastern Asia
JOR,Middle East and North Africa
KAZ,Central and Eastern Europe
KEN,Sub-Saharan Africa
KIR,
KWT,Middle East and North Africa
KGZ,Central and Eastern Europe
LAO,Southeastern Asia
LVA,Central and Eastern Europe
LBN,Middle East and North Africa
LSO,Sub-Saharan Africa
LBR,Sub-Saharan Africa
LBY,Middle East and North Africa
LTU,Central and Eastern Europe
LUX,Western Europe
MAC,
MDG,Sub-Saharan Africa
MWI,Sub-Saharan Africa
MYS,Southeastern Asia
MDV,
MLI,Sub-Saharan Africa
MLT,Western Europe
MTQ,
MRT,Sub-Saharan Africa
MUS,Sub-Saharan Africa
MEX,Latin America and Caribbean
FSM,
MDA,Central and Eastern Europe
MNG,Eastern Asia
MNE,Central and Eastern Europe
MSR,
MAR,Middle East and North Africa
MOZ,Sub-Saharan Africa
MMR,Southeastern Asia
NAM,
NRU,
NPL,Southern Asia
NLD,Western Europe
ANT,
NCL,
NZL,Australia and New Zealand
NIC,Latin America and Caribbean
NER,Sub-Saharan Africa
NGA,Sub-Saharan Africa
NIU,
PRK,
MKD,Central and Eastern Europe
MNP,
NOR,Western Europe
OMN,Middle East and North Africa
PAK,Southern Asia
PSE,
PAN,Latin America and Caribbean
PNG,
PRY,Latin America and Caribbean
PER,Latin America and Caribbean
PHL,Southeastern Asia
POL,Central and Eastern Europe
PRT,Western Europe
PRI,
QAT,Middle East and North Africa
REU,
ROU,Central and Eastern Europe
RUS,Central and Eastern Europe
RWA,Sub-Saharan Africa
SHN,
KNA,
LCA,
SPM,
VCT,
WSM,
STP,
SAU,Middle East and North Africa
SEN,Sub-Saharan Africa
SRB,Central and Eastern Europe
SYC,
SLE,Sub-Saharan Africa
SGP,Southeastern Asia
SVK,
SVN,Central and Eastern Europe
SLB,
SOM,
ZAF,Sub-Saharan Africa
KOR,Eastern Asia
SSD,
ESP,Western Europe
LKA,Southern Asia
SDN,Sub-Saharan Africa
SUR,Latin America and Caribbean
SWE,Western Europe
CHE,Western Europe
SYR,Middle East and North Africa
TWN,
TJK,Central and Eastern Europe
TZA,Sub-Saharan Africa
THA,Southeastern Asia
TLS,
TGO,Sub-Saharan Africa
TON,
TTO,Latin America and Caribbean
TUN,Middle East and North Africa
TUR,
TKM,Central and Eastern Europe
TCA,
TUV,
UGA,Sub-Saharan Africa
UKR,Central and Eastern Europe
ARE,Middle East and North Africa
GBR,Western Europe
USA,North America
VIR,
URY,Latin America and Caribbean
UZB,Central and Eastern Europe
VUT,
VEN,
VNM,Southeastern Asia
ESH,
YEM,Middle East and North Africa
ZMB,Sub-Saharan Africa
ZWE,Sub-Saharan Africa
