country,region,Happiness Rank,HappinessScore,LowerCI,UpperCI,Economy,Social Support,Health _LE,Freedom,Corruption,Generosity,Dystopia,year
Afghanistan,Southern Asia,153,3.575,3.5145536,3.6354464,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,1.9521,2015
Afghanistan,Southern Asia,154,3.36,3.288,3.432,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268,2.14558,2016
Afghanistan,Southern Asia,141,3.79399991,3.873661415,3.714338405,0.401477218,0.581543326,0.180746779,0.10617952,0.06115783,0.311870933,2.150801182,2017
Afghanistan,Southern Asia,145,3.632,,,0.332,0.537,0.255,0.085,0.036,0.191,,2018
Afghanistan,Southern Asia,154,3.203,,,0.35,0.517,0.361,0,0.025,0.158,,2019
Afghanistan,Southern Asia,153,2.566900015,2.505529642,2.628270388,0.30070585,0.356433839,0.266051531,0,0.001225785,0.135234714,1.507235646,2020
Afghanistan,Southern Asia,149,2.523,2.449,2.596,0.37,0,0.126,0,0.01,0.122,1.895,2021
Albania,Central and Eastern Europe,95,4.959,4.8607452,5.0572548,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,1.89894,2015
Albania,Central and Eastern Europe,109,4.655,4.546,4.764,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,1.92816,2016
Albania,Central and Eastern Europe,109,4.644000053,4.752464006,4.5355361,0.996192753,0.803685248,0.731159747,0.381498635,0.039864216,0.201312944,1.490441561,2017
Albania,Central and Eastern Europe,112,4.586,,,0.916,0.817,0.79,0.419,0.032,0.149,,2018
Albania,Central and Eastern Europe,107,4.719,,,0.947,0.848,0.874,0.383,0.027,0.178,,2019
Albania,Central and Eastern Europe,105,4.882699966,4.772713184,4.992686749,0.906653047,0.830483913,0.846329629,0.461945891,0.025361285,0.171027765,1.640897036,2020
Albania,Central and Eastern Europe,93,5.117,5.001,5.234,1.008,0.529,0.646,0.491,0.024,0.168,2.25,2021
Algeria,Middle East and North Africa,68,5.605,5.5050596,5.7049404,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,2.43209,2015
Algeria,Middle East and North Africa,38,6.355,6.227,6.483,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,3.40904,2016
Algeria,Middle East and North Africa,53,5.872000217,5.978286434,5.765714001,1.091864467,1.146217465,0.617584646,0.233335808,0.14609611,0.069436647,2.567603827,2017
Algeria,Middle East and North Africa,84,5.295,,,0.979,1.154,0.687,0.077,0.135,0.055,,2018
Algeria,Middle East and North Africa,88,5.211,,,1.002,1.16,0.785,0.086,0.114,0.073,,2019
Algeria,Middle East and North Africa,100,5.005099773,4.918397427,5.09180212,0.943856001,1.143003583,0.745418549,0.083943799,0.129190654,0.118915014,1.840811729,2020
Algeria,Middle East and North Africa,109,4.887,4.783,4.991,0.946,0.765,0.552,0.119,0.12,0.144,2.242,2021
Angola,Sub-Saharan Africa,137,4.033,3.9397432,4.1262568,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344,1.94939,2015
Angola,Sub-Saharan Africa,141,3.866,3.753,3.979,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,2.09459,2016
Angola,Sub-Saharan Africa,140,3.795000076,3.951641935,3.638358217,0.85842818,1.10441196,0.049868666,0,0.069720335,0.09792649,1.614482403,2017
Angola,Sub-Saharan Africa,142,3.795,,,0.73,1.125,0.269,0,0.061,0.079,,2018
Argentina,Latin America and Caribbean,30,6.574,6.4836048,6.6643952,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836,2015
Argentina,Latin America and Caribbean,26,6.65,6.56,6.74,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,3.12985,2016
Argentina,Latin America and Caribbean,24,6.598999977,6.690085086,6.507914868,1.185295463,1.440451145,0.695137084,0.494519204,0.059739888,0.109457061,2.614005327,2017
Argentina,Latin America and Caribbean,29,6.388,,,1.073,1.468,0.744,0.57,0.054,0.062,,2018
Argentina,Latin America and Caribbean,47,6.086,,,1.092,1.432,0.881,0.471,0.05,0.066,,2019
Argentina,Latin America and Caribbean,55,5.974699974,5.869954109,6.079445839,1.028465629,1.372543693,0.849773705,0.520840347,0.060415059,0.070100471,2.072540998,2020
Argentina,Latin America and Caribbean,57,5.929,5.819,6.04,1.162,0.98,0.646,0.544,0.067,0.069,2.461,2021
Armenia,Central and Eastern Europe,127,4.35,4.2566452,4.4433548,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75873,2015
Armenia,Central and Eastern Europe,121,4.36,4.266,4.454,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,1.97864,2016
Armenia,Central and Eastern Europe,121,4.375999928,4.466734612,4.285265243,0.900596738,1.007483721,0.637524426,0.198303267,0.026674422,0.083488092,1.521499157,2017
Armenia,Central and Eastern Europe,129,4.321,,,0.816,0.99,0.666,0.26,0.028,0.077,,2018
Armenia,Central and Eastern Europe,116,4.559,,,0.85,1.055,0.815,0.283,0.064,0.095,,2019
